"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","1","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testListViewCheckEveryAddColumnItem","testListViewCheckEveryAddColumnItem",""
"passed","Sun Jul 23 05:03:48 GMT 2023","Sun Jul 23 05:03:49 GMT 2023","1860","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"passed","Sun Jul 23 05:09:41 GMT 2023","Sun Jul 23 05:09:42 GMT 2023","1507","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreatePipelineExistingNameError","testCreatePipelineExistingNameError","Check if pipeline job can be created with name, that is a name of already existing project"
"passed","Sun Jul 23 05:05:50 GMT 2023","Sun Jul 23 05:05:53 GMT 2023","2241","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testCreateFolderInFolderFromCreateJob","testCreateFolderInFolderFromCreateJob","Verify the ability to create folder in the folder using the option 'Create a job'"
"passed","Sun Jul 23 05:07:28 GMT 2023","Sun Jul 23 05:07:30 GMT 2023","2174","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testMultiConfigurationProjectRenameProjectViaSideMenu","testMultiConfigurationProjectRenameProjectViaSideMenu","Verify that the 'MultiConfigurationProject' can be renamed in the side menu"
"passed","Sun Jul 23 05:08:59 GMT 2023","Sun Jul 23 05:08:59 GMT 2023","306","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Sun Jul 23 05:07:19 GMT 2023","Sun Jul 23 05:07:21 GMT 2023","1996","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testMultiConfigurationProjectDisableCheckIconProjectName","testMultiConfigurationProjectDisableCheckIconProjectName","Verify that when you turn off the project, the project icon changes its status to 'disable' on the project configuration page"
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","1","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView","Verify that Error message appears when is trying to rename a List view with the name that contains invalid special characters"
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testLettersSMLClickableMyViews","testLettersSMLClickableMyViews",""
"passed","Sun Jul 23 05:06:36 GMT 2023","Sun Jul 23 05:06:39 GMT 2023","3093","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testMoveFreestyleProjectInFolderUsingDropDownMenu","testMoveFreestyleProjectInFolderUsingDropDownMenu","Verify the ability to create a 'Freestyle Project' in the folder"
